"","cs_dep2023","2040","2060","2080","2100","fs_dep2023","2040","2060","2080","2100","cs_ndep2023","2040","2060","2080","2100","fs_ndep2023","2040","2060","2080","2100","ns_dep2023","2040","2060","2080","2100","ns_ndep2023","2040","2060","2080","2100"
"13",194.259006147495,204.64824010645,210.554054550076,217.347794090945,217.470775072314,0,0,0,0,0,22828.0744609859,24049.7502756736,24744.3605095319,25543.0986816844,25557.7254321955,0,0,0,0,0,23626.289489461,24890.6898674272,25609.5642824517,26436.2056336027,26451.3377462358,1877702.21263528,1978255.87158866,2035439.24025517,2101169.82353868,2102387.25228578
"14",1403.32430883693,1476.64704206784,1516.04980905795,1569.57937279109,1570.50699998927,0,0,0,0,0,40096.799177006,42193.3229461826,43320.3055204064,44850.5631237534,44877.4420537278,0,0,0,0,0,48196.865451299,50716.8968613426,52071.5014723441,53910.8449341435,53943.1294040041,1835581.10731554,1931625.13504351,1983268.40873861,2053356.20597358,2054603.09145662
"15",4958.04625355209,5212.59474488396,5342.28229706641,5546.5619921041,5549.99539261645,0,0,0,0,0,66667.7468802934,70093.1424883815,71839.039261494,74587.3367840658,74634.2457541322,0,0,0,0,0,78860.3427512641,82912.1500661674,84977.2542471591,88228.0834158038,88283.5198962506,1775285.43046161,1866570.34704611,1913116.5673124,1986339.57364585,1987608.2312327
"16",13453.1445903544,14130.2589950674,14462.3994556879,15055.3579646293,15065.2429634292,152.37921154904,160.042135588123,163.798948596171,170.511308809984,170.621225952404,100414.767638178,105473.069875125,107955.637236285,112384.080628998,112459.247121059,2154.10887610659,2262.5237666917,2315.69970810498,2410.63829330042,2412.21814897086,124149.350365381,130403.127516427,133472.271001965,138947.238676325,139040.031706398,1687075.88560505,1772133.48001806,1813902.08442907,1888348.59228002,1889634.79131303
"17",31292.3010266208,32813.0704048331,33558.8860817488,35021.9640312881,35046.295488671,689.016896170461,722.470662684765,738.866671734555,771.061822200551,771.586469965652,136179.751104922,142804.222623149,146055.174498887,152426.395591946,152534.612652178,5473.26636176137,5739.25455095234,5869.69767492542,6125.59681090782,6129.84902577297,192555.837527703,201922.427071691,206518.718523637,215527.023255136,215679.671489806,1565784.96082629,1642025.34806922,1679465.5312991,1752768.84787311,1754040.09211102
"18",62206.2582563412,65099.1091287535,66589.0806478994,69662.6525613431,69720.1834373915,2123.33514567369,2221.8051320632,2272.41657218599,2377.12730228274,2378.96569114129,162502.664105397,170037.148946179,173907.797075502,181918.859009737,182057.298943194,9991.78701190164,10454.5264691899,10692.0592900741,11184.2633156185,11192.5535917279,281599.528100396,294714.925201255,301477.034979946,315404.559094777,315673.292692957,1420366.24116545,1486301.28249051,1520202.18089678,1590279.39852852,1591523.20850896
"19",79133.0553258386,82592.7486824203,84575.1444546045,88688.6792547435,88778.9579996823,4238.4474593522,4422.78582686062,4528.06448977574,4747.63268439042,4751.9695585893,140777.785342535,146876.134496952,150349.28123902,157621.810517213,157751.899170775,13094.5152397494,13660.8659830959,13983.1215250579,14658.914001402,14670.5944380988,385302.689299956,402142.617569522,411787.686757371,431809.895059123,432243.570329876,1315639.56529956,1372718.80974021,1405253.6836684,1473282.39379769,1474536.77091442
"20",89380.6700069674,92982.829087489,95404.5729425065,100270.426698957,100395.374933622,6652.88191189441,6919.00841517042,7097.38573968335,7457.96128495204,7466.18975547468,125449.789256363,130420.511015926,133738.630639183,140498.662108927,140627.265307666,16026.6526777147,16660.2495681441,17082.83135268,17945.3326301119,17961.042187445,444989.432619897,462884.53382972,474902.641873721,499093.229913746,499690.727396409,1254444.29017603,1304247.02605495,1337514.09088367,1405183.88034845,1406514.42439194
"21",89469.934571149,94066.7112486627,96803.5661152211,101808.432402679,102123.244594602,8541.47668312621,9021.93422615206,9281.39352498385,9758.91211223361,9787.31618944879,118380.191121247,122785.501166909,126246.392356208,132686.995285506,133031.686024868,19394.4044928258,20123.2194979676,20688.4262332609,21742.3418164656,21797.6920421503,444394.855427075,460747.010481826,474087.742911753,498547.067186157,500048.750541581,1254375.45100626,1296969.90049813,1333625.44880226,1401735.14423908,1405428.57363487
"22",83970.8625974915,89566.6893092802,92525.471647575,97362.1820201903,97855.5813579761,9803.06213769955,10541.2560078702,10885.1453962377,11450.8179173068,11506.3405980569,116221.054504795,120360.386650542,124183.403431155,130556.76907835,131129.657152563,23372.3044862218,24229.8543615828,24996.566887118,26277.2245562132,26390.8836981217,409457.153957267,423451.389654492,437356.47528694,460153.144640441,462435.225230987,1288855.41822426,1323533.4142021,1365685.48678939,1435858.79802271,1442219.65287468
"23",75872.758513441,82968.5733926393,86092.0375209067,90623.0494463682,91274.8497850905,10520.3041548672,11628.2160350763,12060.3120113378,12690.6990987656,12778.7331508658,115745.794315715,119804.533174696,124113.914323928,130491.779301523,131315.133573468,27802.3397593247,28823.9072911235,29856.7318785087,31387.9531575009,31583.7453287883,364697.498530813,377727.826020243,391851.687494932,412399.952270139,415309.152558349,1333033.89269009,1357746.0072989,1406704.65104977,1479080.47200648,1488476.84756995
"24",73684.1857911232,75793.76446437,80316.3722682062,84545.1055005491,85346.6012359844,11966.9112249069,12445.2524136868,13180.7620719969,13869.317444488,13996.7712330133,124697.184675573,116594.190644787,123307.015539063,129612.332074801,130702.009673889,35240.8450830324,32998.8087189775,34893.4117478698,36673.6632816211,36978.9941517215,326105.584518374,339145.244129619,359263.583733812,378087.568416101,381602.494829532,1352809.09757935,1356843.81948499,1435075.31302352,1508540.75208899,1521282.03477855
"25",70649.4246913257,70831.8127777313,75036.5136345442,78955.0289730534,79897.2595767677,13309.8708842722,13476.0359440049,14267.3451446235,15005.8048577373,15180.0040994522,134121.19346744,115378.675263337,121944.84604944,128096.880830242,129465.725657148,44006.8670190823,37933.2800837473,40085.117128578,42102.0826613271,42548.064980643,292106.450474125,317159.727271839,335839.842783771,353263.970892331,357394.625892468,1365840.87456369,1376304.70635686,1454712.08190549,1528159.68496036,1544530.43197842
"26",68818.3950839042,66166.0742500497,70098.4708722114,73693.8084047142,74768.9876746136,14845.0928662808,14471.9618183739,15321.7286683878,16099.7008859929,16328.7888042154,146328.454356124,113977.757871386,120430.604797316,126362.566311753,128025.348861956,54974.0653572405,43108.4690375739,45540.071366737,47776.3359470842,48399.9398418221,256725.110386124,300838.495751786,318538.607302244,334737.812368663,339518.294539215,1378097.3328063,1393945.215012,1472889.40195728,1545453.19347096,1565797.57006431
"27",62867.4313615454,61306.3692610961,64980.163718952,68222.8044332604,69415.0248772732,15199.6935912811,15088.9427809062,15981.2896004815,16769.7660921529,17056.1838142386,162882.871978435,112947.368551775,119350.305837157,125028.046828626,127007.9788623,68549.4833273706,48421.3594370729,51155.1890116612,53580.2284456014,54422.4232605666,213510.925700916,281234.831999507,297890.992743473,312604.979197761,317955.009476599,1398104.69535263,1414384.46995459,1494521.35847472,1565580.40510098,1590340.24312717
"28",56997.9096501578,57129.1133232704,60599.957810864,63512.9025759218,64818.8926348679,15312.590572442,15626.3056562848,16562.1877853752,17348.0770181773,17697.2582931069,179621.987441026,111426.455569669,117789.937476705,123143.886519437,125448.718339785,83834.8663370577,53586.3150878734,56633.0793942077,59196.9465562278,60297.2836905381,177663.504150105,266875.058933773,282868.437915068,296296.515419241,302263.426637067,1408042.38245841,1429133.04506186,1510620.79848684,1579179.62147344,1608656.01311719
"29",54440.0155295655,53499.9548839662,56807.9103907015,59414.9849389447,60831.6520547109,15451.6626062325,16116.2878318593,17097.5446946762,17870.6898793754,18288.2863570264,197160.952067235,109529.4770585,115858.098207092,120840.072315255,123473.519099021,96570.2986720903,58588.5427715006,61957.7307105322,64609.748197332,66008.7026425375,154518.14695994,256267.088354995,271864.800281405,284152.79262291,290787.184471079,1402337.5755865,1439696.13382807,1522653.45135723,1587949.55761946,1622417.88368918
"30",54564.5830734934,50362.4731244018,53526.6733873553,55855.7657848394,57380.4478909408,16304.3592666065,16601.4035533264,17627.3192373774,18381.4390069123,18873.6330756445,212781.752800374,107322.125132412,113587.413939834,118170.791791931,121130.090547373,109512.922796122,63422.8158428643,67106.4917802587,69800.036963142,71537.3534150383,142060.995624023,248816.74452096,264171.981105223,275456.065315894,282817.509822397,1384317.90919915,1447019.3791476,1531153.38617589,1592672.61031045,1632355.65911698
"31",55696.646345564,47627.032557285,50643.5210784918,52726.0739179192,54353.9210488555,17479.6501374905,17099.5507393098,18163.376377874,18895.9017625314,19468.5798152784,224946.323980259,104904.695041531,111040.265967833,115225.756632064,118499.804378551,121747.582419067,68121.5856254891,72083.9203491531,74784.4833642465,76897.0344412953,135517.076848235,243658.091292534,258780.705299785,269188.397355319,277323.749535857,1362860.85703342,1452432.92844726,1536914.12551622,1594486.94127581,1639519.6578334
